township,program,count
Andover,CADAP,0
Andover,CHCPE,0
Andover,CHIP,32
Andover,Medicaid,461
Andover,MSP,117
Andover,SAGA,6
Andover,SAGA Funeral,0
Andover,SNAP,211
Andover,Social Work Services,0
Andover,State Supplement,6
Andover,TFA,14
Ansonia,CADAP,12
Ansonia,CHCPE,27
Ansonia,CHIP,234
Ansonia,Medicaid,"7,809"
Ansonia,MSP,"1,200"
Ansonia,SAGA,68
Ansonia,SAGA Funeral,7
Ansonia,SNAP,"4,287"
Ansonia,Social Work Services,7
Ansonia,State Funded Medical,0
Ansonia,State Supplement,81
Ansonia,TFA,328
Ashford,CHCPE,5
Ashford,CHIP,44
Ashford,Medicaid,"1,018"
Ashford,MSP,180
Ashford,SAGA,7
Ashford,SAGA Funeral,0
Ashford,SNAP,391
Ashford,Social Work Services,113
Ashford,State Funded Medical,0
Ashford,State Supplement,15
Ashford,TFA,26
Avon,CADAP,0
Avon,CHCPE,21
Avon,CHIP,62
Avon,Medicaid,"1,598"
Avon,MSP,509
Avon,SAGA,17
Avon,SAGA Funeral,6
Avon,SNAP,390
Avon,Social Work Services,0
Avon,State Funded Medical,5
Avon,State Supplement,25
Avon,TFA,14
Barkhamsted,CHCPE,6
Barkhamsted,CHIP,27
Barkhamsted,Medicaid,533
Barkhamsted,MSP,119
Barkhamsted,SAGA,0
Barkhamsted,SNAP,171
Barkhamsted,State Supplement,8
Barkhamsted,TFA,6
Beacon Falls,CADAP,0
Beacon Falls,CHCPE,9
Beacon Falls,CHIP,42
Beacon Falls,Medicaid,949
Beacon Falls,MSP,245
Beacon Falls,SAGA,8
Beacon Falls,SNAP,365
Beacon Falls,State Funded Medical,0
Beacon Falls,State Supplement,11
Beacon Falls,TFA,33
Berlin,CADAP,10
Berlin,CHCPE,40
Berlin,CHIP,158
Berlin,Medicaid,"2,698"
Berlin,MSP,"1,092"
Berlin,SAGA,27
Berlin,SAGA Funeral,7
Berlin,SNAP,"1,095"
Berlin,Social Work Services,7
Berlin,State Funded Medical,0
Berlin,State Supplement,71
Berlin,TFA,88
Bethany,CADAP,0
Bethany,CHCPE,8
Bethany,CHIP,39
Bethany,Medicaid,603
Bethany,MSP,146
Bethany,SAGA,5
Bethany,SNAP,159
Bethany,Social Work Services,0
Bethany,State Funded Medical,0
Bethany,State Supplement,13
Bethany,TFA,6
Bethel,CADAP,0
Bethel,CHCPE,33
Bethel,CHIP,237
Bethel,Medicaid,"3,684"
Bethel,MSP,775
Bethel,SAGA,14
Bethel,SAGA Funeral,0
Bethel,SNAP,"1,066"
Bethel,Social Work Services,0
Bethel,State Funded Medical,0
Bethel,State Supplement,41
Bethel,TFA,42
Bethlehem,CADAP,0
Bethlehem,CHCPE,5
Bethlehem,CHIP,33
Bethlehem,Medicaid,549
Bethlehem,MSP,153
Bethlehem,SAGA,5
Bethlehem,SNAP,156
Bethlehem,State Funded Medical,0
Bethlehem,State Supplement,9
Bethlehem,TFA,0
Bloomfield,CADAP,19
Bloomfield,CHCPE,69
Bloomfield,CHIP,193
Bloomfield,Medicaid,"5,999"
Bloomfield,MSP,"1,713"
Bloomfield,SAGA,74
Bloomfield,SAGA Funeral,16
Bloomfield,SNAP,"2,913"
Bloomfield,Social Work Services,14
Bloomfield,State Funded Medical,10
Bloomfield,State Supplement,183
Bloomfield,TFA,205
Bolton,CADAP,0
Bolton,CHCPE,0
Bolton,CHIP,33
Bolton,Medicaid,631
Bolton,MSP,156
Bolton,SAGA,9
Bolton,SAGA Funeral,0
Bolton,SNAP,244
Bolton,Social Work Services,0
Bolton,State Supplement,17
Bolton,TFA,5
Bozrah,CADAP,0
Bozrah,CHCPE,0
Bozrah,CHIP,22
Bozrah,Medicaid,640
Bozrah,MSP,140
Bozrah,SAGA,0
Bozrah,SAGA Funeral,0
Bozrah,SNAP,302
Bozrah,Social Work Services,40
Bozrah,State Funded Medical,0
Bozrah,State Supplement,34
Bozrah,TFA,20
Branford,CADAP,10
Branford,CHCPE,51
Branford,CHIP,189
Branford,ConnTRANS,0
Branford,Medicaid,"5,555"
Branford,MSP,"1,575"
Branford,Refugee Cash,0
Branford,SAGA,29
Branford,SAGA Funeral,5
Branford,SNAP,"2,131"
Branford,Social Work Services,10
Branford,State Funded Medical,0
Branford,State Supplement,108
Branford,TFA,113
Bridgeport,CADAP,262
Bridgeport,CHCPE,186
Bridgeport,CHIP,"1,917"
Bridgeport,Medicaid,"82,024"
Bridgeport,MSP,"11,265"
Bridgeport,Refugee Cash,10
Bridgeport,SAGA,877
Bridgeport,SAGA Funeral,117
Bridgeport,SNAP,"46,149"
Bridgeport,Social Work Services,156
Bridgeport,State Funded Medical,38
Bridgeport,State Medical,0
Bridgeport,State Supplement,"1,096"
Bridgeport,TFA,"3,153"
Bridgewater,CHCPE,0
Bridgewater,CHIP,14
Bridgewater,Medicaid,144
Bridgewater,MSP,43
Bridgewater,SAGA,0
Bridgewater,SNAP,35
Bridgewater,TFA,0
Bristol,CADAP,21
Bristol,CHCPE,156
Bristol,CHIP,630
Bristol,Medicaid,"20,237"
Bristol,MSP,"4,640"
Bristol,SAGA,202
Bristol,SAGA Funeral,62
Bristol,SNAP,"11,128"
Bristol,Social Work Services,141
Bristol,State Funded Medical,13
Bristol,State Supplement,227
Bristol,TFA,"1,302"
Brookfield,CADAP,0
Brookfield,CHCPE,34
Brookfield,CHIP,195
Brookfield,Medicaid,"2,392"
Brookfield,MSP,480
Brookfield,SAGA,13
Brookfield,SAGA Funeral,0
Brookfield,SNAP,666
Brookfield,Social Work Services,0
Brookfield,State Funded Medical,6
Brookfield,State Supplement,19
Brookfield,TFA,41
Brooklyn,CADAP,0
Brooklyn,CHCPE,9
Brooklyn,CHIP,71
Brooklyn,Medicaid,"2,195"
Brooklyn,MSP,584
Brooklyn,SAGA,21
Brooklyn,SAGA Funeral,0
Brooklyn,SNAP,995
Brooklyn,Social Work Services,229
Brooklyn,State Funded Medical,0
Brooklyn,State Supplement,68
Brooklyn,TFA,97
Burlington,CADAP,0
Burlington,CHCPE,8
Burlington,CHIP,21
Burlington,Medicaid,886
Burlington,MSP,201
Burlington,SAGA,0
Burlington,SNAP,207
Burlington,State Funded Medical,0
Burlington,State Supplement,18
Burlington,TFA,12
Canaan,CADAP,0
Canaan,CHCPE,5
Canaan,CHIP,47
Canaan,Medicaid,983
Canaan,MSP,296
Canaan,SAGA,0
Canaan,SNAP,276
Canaan,Social Work Services,0
Canaan,State Supplement,7
Canaan,TFA,11
Canterbury,CADAP,0
Canterbury,CHCPE,5
Canterbury,CHIP,52
Canterbury,Medicaid,"1,084"
Canterbury,MSP,246
Canterbury,SAGA,5
Canterbury,SAGA Funeral,0
Canterbury,SNAP,422
Canterbury,Social Work Services,14
Canterbury,State Funded Medical,0
Canterbury,State Supplement,11
Canterbury,TFA,18
Canton,CADAP,0
Canton,CHCPE,21
Canton,CHIP,77
Canton,Medicaid,"1,313"
Canton,MSP,456
Canton,SAGA,0
Canton,SAGA Funeral,0
Canton,SNAP,354
Canton,Social Work Services,0
Canton,State Funded Medical,0
Canton,State Supplement,21
Canton,TFA,19
Chaplin,CHCPE,0
Chaplin,CHIP,18
Chaplin,Medicaid,623
Chaplin,MSP,123
Chaplin,SAGA,7
Chaplin,SAGA Funeral,0
Chaplin,SNAP,308
Chaplin,Social Work Services,51
Chaplin,State Supplement,0
Chaplin,TFA,15
Cheshire,CADAP,5
Cheshire,CHCPE,38
Cheshire,CHIP,154
Cheshire,Medicaid,"3,029"
Cheshire,MSP,"1,015"
Cheshire,SAGA,16
Cheshire,SAGA Funeral,0
Cheshire,SNAP,836
Cheshire,Social Work Services,5
Cheshire,State Funded Medical,9
Cheshire,State Supplement,152
Cheshire,TFA,40
Chester,CHCPE,14
Chester,CHIP,33
Chester,Medicaid,627
Chester,MSP,258
Chester,SAGA,0
Chester,SAGA Funeral,0
Chester,SNAP,126
Chester,Social Work Services,0
Chester,State Funded Medical,0
Chester,State Supplement,42
Chester,TFA,6
Clinton,CADAP,0
Clinton,CHCPE,12
Clinton,CHIP,107
Clinton,Medicaid,"2,551"
Clinton,MSP,680
Clinton,SAGA,11
Clinton,SAGA Funeral,0
Clinton,SNAP,891
Clinton,Social Work Services,8
Clinton,State Funded Medical,0
Clinton,State Supplement,63
Clinton,TFA,30
Colchester,CADAP,8
Colchester,CHCPE,14
Colchester,CHIP,123
Colchester,Medicaid,"2,900"
Colchester,MSP,750
Colchester,SAGA,18
Colchester,SAGA Funeral,11
Colchester,SNAP,"1,115"
Colchester,Social Work Services,36
Colchester,State Supplement,94
Colchester,TFA,70
Colebrook,CHCPE,0
Colebrook,CHIP,8
Colebrook,Medicaid,196
Colebrook,MSP,37
Colebrook,SAGA,0
Colebrook,SNAP,55
Colebrook,Social Work Services,0
Colebrook,State Funded Medical,0
Colebrook,State Supplement,0
Colebrook,TFA,7
Columbia,CADAP,0
Columbia,CHCPE,5
Columbia,CHIP,24
Columbia,Medicaid,785
Columbia,MSP,203
Columbia,SAGA,0
Columbia,SAGA Funeral,0
Columbia,SNAP,268
Columbia,Social Work Services,75
Columbia,State Supplement,35
Columbia,TFA,16
Cornwall,CHCPE,0
Cornwall,CHIP,22
Cornwall,Medicaid,282
Cornwall,MSP,69
Cornwall,SNAP,80
Cornwall,State Supplement,0
Cornwall,TFA,8
Coventry,CADAP,0
Coventry,CHCPE,14
Coventry,CHIP,111
Coventry,Medicaid,"1,986"
Coventry,MSP,433
Coventry,SAGA,16
Coventry,SAGA Funeral,0
Coventry,SNAP,764
Coventry,Social Work Services,206
Coventry,State Funded Medical,0
Coventry,State Supplement,45
Coventry,TFA,60
Cromwell,CADAP,0
Cromwell,CHCPE,24
Cromwell,CHIP,98
Cromwell,Medicaid,"2,315"
Cromwell,MSP,785
Cromwell,SAGA,17
Cromwell,SAGA Funeral,8
Cromwell,SNAP,910
Cromwell,Social Work Services,10
Cromwell,State Funded Medical,7
Cromwell,State Supplement,59
Cromwell,TFA,41
Danbury,CADAP,55
Danbury,CHCPE,123
Danbury,CHIP,"1,307"
Danbury,Medicaid,"25,886"
Danbury,MSP,"3,920"
Danbury,Refugee Cash,0
Danbury,SAGA,213
Danbury,SAGA Funeral,26
Danbury,SNAP,"8,801"
Danbury,Social Work Services,27
Danbury,State Funded Medical,21
Danbury,State Medical,0
Danbury,State Supplement,206
Danbury,TFA,390
Darien,CHCPE,0
Darien,CHIP,74
Darien,Medicaid,"1,233"
Darien,MSP,199
Darien,SAGA,7
Darien,SAGA Funeral,0
Darien,SNAP,272
Darien,Social Work Services,0
Darien,State Funded Medical,6
Darien,State Supplement,12
Darien,TFA,12
Deep River,CHCPE,10
Deep River,CHIP,53
Deep River,Medicaid,861
Deep River,MSP,246
Deep River,SAGA,9
Deep River,SNAP,253
Deep River,Social Work Services,0
Deep River,State Funded Medical,0
Deep River,State Supplement,41
Deep River,TFA,13
Derby,CADAP,11
Derby,CHCPE,18
Derby,CHIP,128
Derby,ConnTRANS,0
Derby,Medicaid,"4,788"
Derby,MSP,914
Derby,SAGA,29
Derby,SAGA Funeral,0
Derby,SNAP,"2,440"
Derby,Social Work Services,0
Derby,State Funded Medical,0
Derby,State Supplement,56
Derby,TFA,160
Durham,CHCPE,6
Durham,CHIP,33
Durham,Medicaid,732
Durham,MSP,198
Durham,SAGA,0
Durham,SAGA Funeral,0
Durham,SNAP,205
Durham,Social Work Services,5
Durham,State Funded Medical,7
Durham,State Supplement,19
Durham,TFA,10
Eastford,CHCPE,0
Eastford,CHIP,20
Eastford,Medicaid,247
Eastford,MSP,80
Eastford,SAGA,0
Eastford,SNAP,99
Eastford,Social Work Services,0
Eastford,State Supplement,0
East Granby,CADAP,0
East Granby,CHCPE,8
East Granby,CHIP,17
East Granby,Medicaid,647
East Granby,MSP,149
East Granby,SAGA,0
East Granby,SAGA Funeral,0
East Granby,SNAP,192
East Granby,Social Work Services,0
East Granby,State Funded Medical,0
East Granby,State Supplement,6
East Granby,TFA,7
East Haddam,CADAP,0
East Haddam,CHCPE,13
East Haddam,CHIP,60
East Haddam,Medicaid,"1,273"
East Haddam,MSP,352
East Haddam,SAGA,8
East Haddam,SNAP,397
East Haddam,Social Work Services,0
East Haddam,State Funded Medical,0
East Haddam,State Supplement,33
East Haddam,TFA,29
East Hampton,CADAP,0
East Hampton,CHCPE,14
East Hampton,CHIP,80
East Hampton,Medicaid,"2,017"
East Hampton,MSP,522
East Hampton,SAGA,14
East Hampton,SAGA Funeral,0
East Hampton,SNAP,724
East Hampton,Social Work Services,9
East Hampton,State Funded Medical,0
East Hampton,State Supplement,79
East Hampton,TFA,66
East Hartford,CADAP,64
East Hartford,CHCPE,83
East Hartford,CHIP,632
East Hartford,Medicaid,"24,130"
East Hartford,MSP,"4,108"
East Hartford,SAGA,349
East Hartford,SAGA Funeral,49
East Hartford,SNAP,"14,894"
East Hartford,Social Work Services,52
East Hartford,State Funded Medical,14
East Hartford,State Supplement,421
East Hartford,TFA,"1,243"
East Haven,CADAP,17
East Haven,CHCPE,82
East Haven,CHIP,311
East Haven,Medicaid,"8,732"
East Haven,MSP,"2,259"
East Haven,Refugee Cash,0
East Haven,SAGA,93
East Haven,SAGA Funeral,0
East Haven,SNAP,"4,084"
East Haven,Social Work Services,10
East Haven,State Funded Medical,10
East Haven,State Supplement,202
East Haven,TFA,330
East Lyme,CADAP,6
East Lyme,CHCPE,20
East Lyme,CHIP,133
East Lyme,Medicaid,"2,762"
East Lyme,MSP,763
East Lyme,SAGA,25
East Lyme,SAGA Funeral,8
East Lyme,SNAP,972
East Lyme,Social Work Services,10
East Lyme,State Funded Medical,5
East Lyme,State Supplement,42
East Lyme,TFA,43
Easton,CHCPE,5
Easton,CHIP,55
Easton,Medicaid,654
Easton,MSP,117
Easton,SAGA,5
Easton,SNAP,64
Easton,Social Work Services,0
Easton,State Funded Medical,0
Easton,State Medical,0
Easton,State Supplement,7
Easton,TFA,0
East Windsor,CADAP,0
East Windsor,CHCPE,20
East Windsor,CHIP,78
East Windsor,Medicaid,"2,959"
East Windsor,MSP,772
East Windsor,SAGA,23
East Windsor,SAGA Funeral,7
East Windsor,SNAP,"1,398"
East Windsor,Social Work Services,6
East Windsor,State Funded Medical,0
East Windsor,State Supplement,68
East Windsor,TFA,87
Ellington,CADAP,0
Ellington,CHCPE,17
Ellington,CHIP,117
Ellington,Medicaid,"1,934"
Ellington,MSP,489
Ellington,SAGA,20
Ellington,SAGA Funeral,0
Ellington,SNAP,683
Ellington,Social Work Services,5
Ellington,State Funded Medical,0
Ellington,State Supplement,35
Ellington,TFA,46
Enfield,CADAP,13
Enfield,CHCPE,52
Enfield,CHIP,407
Enfield,Medicaid,"9,596"
Enfield,MSP,"2,217"
Enfield,SAGA,92
Enfield,SAGA Funeral,13
Enfield,SNAP,"4,684"
Enfield,Social Work Services,18
Enfield,State Funded Medical,14
Enfield,State Supplement,168
Enfield,TFA,401
Essex,CADAP,0
Essex,CHCPE,0
Essex,CHIP,38
Essex,Medicaid,793
Essex,MSP,246
Essex,SAGA,0
Essex,SAGA Funeral,0
Essex,SNAP,204
Essex,Social Work Services,0
Essex,State Funded Medical,0
Essex,State Supplement,63
Essex,TFA,7
Fairfield,CADAP,12
Fairfield,CHCPE,54
Fairfield,CHIP,387
Fairfield,Medicaid,"6,934"
Fairfield,MSP,"1,625"
Fairfield,SAGA,44
Fairfield,SAGA Funeral,14
Fairfield,SNAP,"1,763"
Fairfield,Social Work Services,21
Fairfield,State Funded Medical,6
Fairfield,State Supplement,44
Fairfield,TFA,69
Farmington,CADAP,0
Farmington,CHCPE,49
Farmington,CHIP,142
Farmington,Medicaid,"3,562"
Farmington,MSP,"1,172"
Farmington,SAGA,23
Farmington,SAGA Funeral,15
Farmington,SNAP,"1,094"
Farmington,Social Work Services,11
Farmington,State Funded Medical,0
Farmington,State Supplement,164
Farmington,TFA,78
Franklin,CHCPE,0
Franklin,CHIP,20
Franklin,Medicaid,288
Franklin,MSP,109
Franklin,SAGA,0
Franklin,SAGA Funeral,0
Franklin,SNAP,118
Franklin,Social Work Services,18
Franklin,State Supplement,12
Franklin,TFA,10
Glastonbury,CADAP,0
Glastonbury,CHCPE,62
Glastonbury,CHIP,189
Glastonbury,Medicaid,"3,787"
Glastonbury,MSP,"1,077"
Glastonbury,SAGA,27
Glastonbury,SAGA Funeral,0
Glastonbury,SNAP,"1,300"
Glastonbury,Social Work Services,12
Glastonbury,State Funded Medical,0
Glastonbury,State Supplement,97
Glastonbury,TFA,101
Goshen,CHCPE,0
Goshen,CHIP,14
Goshen,Medicaid,425
Goshen,MSP,99
Goshen,SAGA,0
Goshen,SAGA Funeral,0
Goshen,SNAP,85
Goshen,State Funded Medical,0
Goshen,State Supplement,8
Goshen,TFA,5
Granby,CADAP,0
Granby,CHCPE,10
Granby,CHIP,61
Granby,Medicaid,"1,228"
Granby,MSP,330
Granby,SAGA,0
Granby,SAGA Funeral,0
Granby,SNAP,261
Granby,Social Work Services,5
Granby,State Funded Medical,0
Granby,State Supplement,18
Granby,TFA,18
Greenwich,CADAP,12
Greenwich,CHCPE,27
Greenwich,CHIP,326
Greenwich,Medicaid,"7,052"
Greenwich,MSP,"1,426"
Greenwich,SAGA,29
Greenwich,SAGA Funeral,6
Greenwich,SNAP,"1,675"
Greenwich,Social Work Services,11
Greenwich,State Funded Medical,0
Greenwich,State Supplement,109
Greenwich,TFA,120
Griswold,CADAP,0
Griswold,CHCPE,10
Griswold,CHIP,110
Griswold,Medicaid,"3,570"
Griswold,MSP,686
Griswold,SAGA,40
Griswold,SAGA Funeral,7
Griswold,SNAP,"1,858"
Griswold,Social Work Services,363
Griswold,State Funded Medical,0
Griswold,State Supplement,62
Griswold,TFA,135
Groton,CADAP,15
Groton,CHCPE,54
Groton,CHIP,228
Groton,Medicaid,"8,311"
Groton,MSP,"1,723"
Groton,SAGA,62
Groton,SAGA Funeral,23
Groton,SNAP,"4,568"
Groton,Social Work Services,56
Groton,State Funded Medical,6
Groton,State Medical,0
Groton,State Supplement,172
Groton,TFA,379
Guilford,CADAP,0
Guilford,CHCPE,19
Guilford,CHIP,126
Guilford,Medicaid,"2,405"
Guilford,MSP,758
Guilford,SAGA,10
Guilford,SAGA Funeral,0
Guilford,SNAP,749
Guilford,Social Work Services,0
Guilford,State Funded Medical,0
Guilford,State Supplement,56
Guilford,TFA,31
Haddam,CADAP,0
Haddam,CHCPE,6
Haddam,CHIP,37
Haddam,Medicaid,"1,022"
Haddam,MSP,213
Haddam,SAGA,0
Haddam,SAGA Funeral,0
Haddam,SNAP,296
Haddam,Social Work Services,0
Haddam,State Funded Medical,0
Haddam,State Supplement,25
Haddam,TFA,12
Hamden,CADAP,54
Hamden,CHCPE,135
Hamden,CHIP,395
Hamden,Medicaid,"14,769"
Hamden,MSP,"3,425"
Hamden,Refugee Cash,0
Hamden,Repatriation,0
Hamden,SAGA,166
Hamden,SAGA Funeral,16
Hamden,SNAP,"7,157"
Hamden,Social Work Services,24
Hamden,State Funded Medical,24
Hamden,State Medical,0
Hamden,State Supplement,342
Hamden,TFA,636
Hampton,CHCPE,0
Hampton,CHIP,12
Hampton,Medicaid,433
Hampton,MSP,100
Hampton,SAGA,0
Hampton,SNAP,179
Hampton,Social Work Services,24
Hampton,State Supplement,6
Hampton,TFA,18
Hartford,CADAP,199
Hartford,CHCPE,217
Hartford,CHIP,"1,196"
Hartford,Medicaid,"87,463"
Hartford,MSP,"11,878"
Hartford,Refugee Cash,14
Hartford,SAGA,"1,690"
Hartford,SAGA Funeral,143
Hartford,SNAP,"62,877"
Hartford,Social Work Services,281
Hartford,State Funded Medical,75
Hartford,State Medical,6
Hartford,State Supplement,"1,916"
Hartford,TFA,"6,820"
Hartland,CHCPE,0
Hartland,CHIP,14
Hartland,Medicaid,318
Hartland,MSP,66
Hartland,SAGA,0
Hartland,SNAP,74
Hartland,State Supplement,15
Hartland,TFA,0
Harwinton,CHCPE,10
Harwinton,CHIP,76
Harwinton,Medicaid,690
Harwinton,MSP,210
Harwinton,SAGA,6
Harwinton,SAGA Funeral,0
Harwinton,SNAP,204
Harwinton,State Funded Medical,0
Harwinton,State Supplement,24
Harwinton,TFA,7
Hebron,CHCPE,8
Hebron,CHIP,60
Hebron,Medicaid,"1,093"
Hebron,MSP,233
Hebron,SAGA,7
Hebron,SAGA Funeral,0
Hebron,SNAP,318
Hebron,Social Work Services,5
Hebron,State Funded Medical,5
Hebron,State Supplement,25
Hebron,TFA,11
Kent,CHCPE,5
Kent,CHIP,45
Kent,Medicaid,504
Kent,MSP,147
Kent,SAGA,0
Kent,SNAP,155
Kent,State Supplement,14
Kent,TFA,0
Killingly,CADAP,5
Killingly,CHCPE,33
Killingly,CHIP,175
Killingly,Medicaid,"6,141"
Killingly,MSP,"1,676"
Killingly,SAGA,87
Killingly,SAGA Funeral,19
Killingly,SNAP,"3,237"
Killingly,Social Work Services,667
Killingly,State Funded Medical,0
Killingly,State Supplement,135
Killingly,TFA,269
Killingworth,CADAP,0
Killingworth,CHCPE,7
Killingworth,CHIP,48
Killingworth,Medicaid,593
Killingworth,MSP,222
Killingworth,Refugee Cash,0
Killingworth,SAGA,0
Killingworth,SNAP,168
Killingworth,Social Work Services,0
Killingworth,State Funded Medical,0
Killingworth,State Supplement,8
Killingworth,TFA,9
Lebanon,CADAP,0
Lebanon,CHCPE,6
Lebanon,CHIP,52
Lebanon,Medicaid,"1,571"
Lebanon,MSP,286
Lebanon,SAGA,15
Lebanon,SAGA Funeral,5
Lebanon,SNAP,700
Lebanon,Social Work Services,118
Lebanon,State Funded Medical,0
Lebanon,State Supplement,29
Lebanon,TFA,26
Ledyard,CADAP,0
Ledyard,CHCPE,5
Ledyard,CHIP,109
Ledyard,Medicaid,"2,681"
Ledyard,MSP,434
Ledyard,SAGA,25
Ledyard,SAGA Funeral,0
Ledyard,SNAP,"1,152"
Ledyard,Social Work Services,241
Ledyard,State Funded Medical,0
Ledyard,State Supplement,43
Ledyard,TFA,92
Lisbon,CADAP,0
Lisbon,CHCPE,0
Lisbon,CHIP,24
Lisbon,Medicaid,843
Lisbon,MSP,204
Lisbon,SAGA,13
Lisbon,SAGA Funeral,0
Lisbon,SNAP,348
Lisbon,Social Work Services,17
Lisbon,State Supplement,13
Lisbon,TFA,22
Litchfield,CHCPE,28
Litchfield,CHIP,82
Litchfield,Medicaid,"1,337"
Litchfield,MSP,485
Litchfield,SAGA,8
Litchfield,SAGA Funeral,0
Litchfield,SNAP,388
Litchfield,Social Work Services,0
Litchfield,State Funded Medical,0
Litchfield,State Supplement,96
Litchfield,TFA,22
Lyme,CHIP,16
Lyme,Medicaid,245
Lyme,MSP,63
Lyme,SAGA,0
Lyme,SNAP,45
Lyme,State Funded Medical,0
Lyme,State Supplement,0
Madison,CADAP,0
Madison,CHCPE,13
Madison,CHIP,117
Madison,Medicaid,"1,629"
Madison,MSP,548
Madison,SAGA,7
Madison,SAGA Funeral,0
Madison,SNAP,366
Madison,Social Work Services,0
Madison,State Funded Medical,0
Madison,State Supplement,26
Madison,TFA,13
Manchester,CADAP,38
Manchester,CHCPE,92
Manchester,CHIP,644
Manchester,ConnTRANS,0
Manchester,Medicaid,"20,796"
Manchester,MSP,"3,702"
Manchester,SAGA,298
Manchester,SAGA Funeral,37
Manchester,SNAP,"11,925"
Manchester,Social Work Services,67
Manchester,State Funded Medical,15
Manchester,State Supplement,479
Manchester,TFA,"1,152"
Mansfield,CADAP,0
Mansfield,CHCPE,24
Mansfield,CHIP,64
Mansfield,Medicaid,"1,983"
Mansfield,MSP,521
Mansfield,SAGA,13
Mansfield,SAGA Funeral,0
Mansfield,SNAP,876
Mansfield,Social Work Services,198
Mansfield,State Funded Medical,0
Mansfield,State Supplement,24
Mansfield,TFA,68
Marlborough,CADAP,0
Marlborough,CHCPE,6
Marlborough,CHIP,50
Marlborough,Medicaid,779
Marlborough,MSP,222
Marlborough,SAGA,5
Marlborough,SAGA Funeral,0
Marlborough,SNAP,240
Marlborough,Social Work Services,5
Marlborough,State Supplement,20
Marlborough,TFA,13
Meriden,CADAP,40
Meriden,CHCPE,100
Meriden,CHIP,707
Meriden,Medicaid,"27,404"
Meriden,MSP,"5,036"
Meriden,SAGA,374
Meriden,SAGA Funeral,24
Meriden,SNAP,"16,725"
Meriden,Social Work Services,42
Meriden,State Funded Medical,21
Meriden,State Supplement,690
Meriden,TFA,"1,507"
Middlebury,CHCPE,16
Middlebury,CHIP,50
Middlebury,Medicaid,909
Middlebury,MSP,328
Middlebury,SAGA,9
Middlebury,SAGA Funeral,0
Middlebury,SNAP,249
Middlebury,State Funded Medical,0
Middlebury,State Supplement,19
Middlebury,TFA,0
Middlefield,CADAP,0
Middlefield,CHCPE,0
Middlefield,CHIP,27
Middlefield,Medicaid,625
Middlefield,MSP,150
Middlefield,SAGA,5
Middlefield,SNAP,245
Middlefield,State Supplement,10
Middlefield,TFA,16
Middletown,CADAP,34
Middletown,CHCPE,130
Middletown,CHIP,381
Middletown,Medicaid,"14,905"
Middletown,MSP,"3,367"
Middletown,SAGA,254
Middletown,SAGA Funeral,25
Middletown,SNAP,"8,539"
Middletown,Social Work Services,43
Middletown,State Funded Medical,35
Middletown,State Supplement,345
Middletown,TFA,606
Milford,CADAP,20
Milford,CHCPE,70
Milford,CHIP,368
Milford,Medicaid,"8,932"
Milford,MSP,"2,426"
Milford,SAGA,68
Milford,SAGA Funeral,7
Milford,SNAP,"3,302"
Milford,Social Work Services,15
Milford,State Funded Medical,8
Milford,State Supplement,118
Milford,TFA,160
Monroe,CADAP,0
Monroe,CHCPE,16
Monroe,CHIP,149
Monroe,Medicaid,"2,202"
Monroe,MSP,544
Monroe,SAGA,6
Monroe,SAGA Funeral,0
Monroe,SNAP,524
Monroe,Social Work Services,0
Monroe,State Funded Medical,7
Monroe,State Supplement,32
Monroe,TFA,12
Montville,CADAP,0
Montville,CHCPE,17
Montville,CHIP,177
Montville,Medicaid,"4,649"
Montville,MSP,970
Montville,SAGA,49
Montville,SAGA Funeral,14
Montville,SNAP,"2,037"
Montville,Social Work Services,60
Montville,State Funded Medical,0
Montville,State Supplement,110
Montville,TFA,121
Morris,CADAP,0
Morris,CHCPE,0
Morris,CHIP,28
Morris,Medicaid,438
Morris,MSP,95
Morris,SAGA,0
Morris,SNAP,108
Morris,Social Work Services,0
Morris,State Funded Medical,0
Morris,State Supplement,0
Morris,TFA,11
Naugatuck,CADAP,22
Naugatuck,CHCPE,72
Naugatuck,CHIP,376
Naugatuck,Medicaid,"10,270"
Naugatuck,MSP,"2,004"
Naugatuck,SAGA,61
